post_weekday,post_hour,like_count_1h_q1_in_weekday_hour,like_count_1h_q2_in_weekday_hour,like_count_1h_q3_in_weekday_hour,like_count_1h_mean_in_weekday_hour,like_count_1h_std_in_weekday_hour,like_count_2h_q1_in_weekday_hour,like_count_2h_q2_in_weekday_hour,like_count_2h_q3_in_weekday_hour,like_count_2h_mean_in_weekday_hour,like_count_2h_std_in_weekday_hour,like_count_3h_q1_in_weekday_hour,like_count_3h_q2_in_weekday_hour,like_count_3h_q3_in_weekday_hour,like_count_3h_mean_in_weekday_hour,like_count_3h_std_in_weekday_hour,like_count_4h_q1_in_weekday_hour,like_count_4h_q2_in_weekday_hour,like_count_4h_q3_in_weekday_hour,like_count_4h_mean_in_weekday_hour,like_count_4h_std_in_weekday_hour,like_count_5h_q1_in_weekday_hour,like_count_5h_q2_in_weekday_hour,like_count_5h_q3_in_weekday_hour,like_count_5h_mean_in_weekday_hour,like_count_5h_std_in_weekday_hour,like_count_6h_q1_in_weekday_hour,like_count_6h_q2_in_weekday_hour,like_count_6h_q3_in_weekday_hour,like_count_6h_mean_in_weekday_hour,like_count_6h_std_in_weekday_hour
Thursday,4,2.0,5.0,11.0,9.135802469135802,12.053788913055257,5.0,9.0,20.0,18.19753086419753,25.856053330451665,9.0,17.0,33.0,28.938271604938272,36.66992830611083,14.0,26.0,51.0,41.098765432098766,51.14601766957805,18.0,31.0,62.0,53.53086419753087,69.8024151480006,22.0,37.0,70.0,66.44444444444444,87.81813594013482
Sunday,12,2.0,5.0,11.0,7.935897435897436,8.801327738663637,6.0,10.0,20.0,16.628205128205128,17.194916928126407,9.25,18.5,34.75,32.37179487179487,47.75508648351801,15.25,26.0,50.25,54.98717948717949,113.19842291473388,20.0,34.0,60.5,73.7051282051282,183.17106538462676,24.25,36.0,66.75,87.02564102564102,241.62571540915573
Monday,12,2.0,5.0,10.0,8.971428571428572,12.57668815253556,5.0,10.0,17.0,17.285714285714285,21.776295353835422,10.0,17.5,34.0,28.228571428571428,34.04522628375695,14.5,26.5,46.0,40.82857142857143,46.670591375928396,20.0,33.0,55.0,50.65714285714286,57.254551294131545,21.25,36.0,59.75,56.5,64.10515591192922
Saturday,12,2.0,5.0,10.0,8.488372093023257,9.749502775914523,6.0,11.5,20.75,18.953488372093023,22.596671788637206,10.25,20.5,36.0,32.86046511627907,40.73072630905904,16.0,27.0,51.75,50.151162790697676,64.07394945398644,20.25,35.0,69.75,66.80232558139535,86.30749674581023,22.5,38.0,77.75,78.38372093023256,102.92592065966112
Friday,12,2.0,5.0,9.5,7.326315789473684,8.542063761379417,5.0,10.0,19.0,15.063157894736841,18.228928684523463,10.0,17.0,29.5,26.25263157894737,33.46925182117468,16.0,26.0,44.5,39.6,52.73748717175942,21.0,35.0,56.0,51.56842105263158,70.49666547592932,25.0,39.0,63.0,59.8,83.619655634968
Saturday,8,2.0,4.5,10.75,7.909090909090909,10.214209217069618,4.25,9.5,20.0,14.530303030303031,16.036707600875896,8.0,17.5,30.75,23.439393939393938,23.151094865539154,14.0,24.5,43.0,33.95454545454545,32.860746664199084,21.0,32.0,54.25,46.13636363636363,47.74930893213537,26.25,38.0,61.25,59.46969696969697,67.51301178222431
Tuesday,13,2.0,4.5,10.75,7.864864864864865,11.029629241926724,4.0,9.0,17.0,14.58108108108108,19.50202431133525,8.0,16.0,24.0,22.87837837837838,30.71876527141145,11.0,20.5,32.75,29.77027027027027,39.28489106106033,14.25,25.0,37.75,34.67567567567568,45.02361879655176,15.25,27.5,41.0,37.689189189189186,49.10735393291398
Friday,11,2.0,4.0,14.0,11.08641975308642,17.794800877548614,5.0,12.0,21.0,21.925925925925927,37.814936790168574,9.0,18.0,28.0,35.97530864197531,66.03502390940773,15.0,25.0,48.0,52.04938271604938,98.07432146522451,23.0,32.0,61.0,68.65432098765432,126.55573480623342,26.0,38.0,78.0,81.76543209876543,151.42434345283937
Sunday,14,2.0,4.0,13.5,10.846153846153847,16.13961522116248,5.0,10.0,20.0,19.35164835164835,24.075055613815362,8.5,18.0,30.5,28.318681318681318,32.34772158244057,11.5,22.0,40.5,34.505494505494504,39.22736392604123,12.0,24.0,47.0,37.53846153846154,42.681327609339036,13.0,25.0,49.5,39.26373626373626,44.22438622520766
Thursday,15,2.0,4.0,12.0,9.488636363636363,12.084942962007903,4.0,9.0,20.25,16.375,19.23736336989265,6.0,13.0,27.5,21.375,23.62558154730325,8.0,15.5,33.75,24.0,26.049025397084073,8.75,16.5,36.75,25.579545454545453,27.82900231603635,9.0,17.0,38.25,26.613636363636363,28.353852671859478
Sunday,15,2.0,4.0,10.25,9.432692307692308,11.943852806593492,3.75,11.0,21.25,16.682692307692307,19.208242781143664,5.0,16.0,30.0,22.96153846153846,25.2182408465889,6.0,19.0,36.5,26.451923076923077,29.179351592738765,7.0,19.5,37.75,28.16346153846154,31.044944111589412,8.0,20.5,40.0,29.221153846153847,32.24510401031908
Tuesday,2,2.0,4.0,10.0,7.836734693877551,10.017374362358941,4.0,9.0,21.0,16.183673469387756,18.27187441281882,11.0,17.0,32.0,25.20408163265306,25.02830030838152,15.0,23.0,44.0,35.87755102040816,36.67857722446284,19.0,31.0,58.0,46.61224489795919,51.322029190905035,23.0,35.0,62.0,58.142857142857146,70.30973142697485
Monday,3,2.0,4.0,10.0,7.661538461538462,8.988320412966699,4.0,8.0,18.0,14.661538461538461,16.019789444501257,8.0,13.0,31.0,22.984615384615385,23.971657944651735,14.0,19.0,45.0,31.953846153846154,30.922499277038742,19.0,27.0,51.0,42.2,39.734745500632066,25.0,35.0,61.0,51.63076923076923,49.87940745900597
Monday,14,2.0,4.0,9.0,9.341772151898734,14.90558841676449,5.5,10.0,18.5,18.126582278481013,26.834902210199388,8.0,17.0,26.5,26.11392405063291,35.13380552707991,10.5,21.0,36.5,31.59493670886076,40.98921652667079,13.0,22.0,40.5,34.78481012658228,43.757393774074146,13.5,24.0,42.5,36.22784810126582,45.2131559499112
Friday,3,2.0,4.0,9.0,7.657534246575342,13.102395008040613,4.0,8.0,16.0,14.767123287671232,23.702742778436,8.0,13.0,24.0,22.767123287671232,32.86653167143727,12.0,20.0,34.0,32.3013698630137,40.23013137338275,19.0,26.0,41.0,40.945205479452056,46.47008906901504,23.0,31.0,52.0,49.19178082191781,52.48218150907309
Monday,7,2.0,4.0,8.75,9.069767441860465,24.0913900644898,4.0,8.0,15.75,16.25581395348837,38.750843951799865,9.0,15.0,23.0,25.093023255813954,48.17117222058578,13.25,20.5,33.75,35.81395348837209,59.52864098169236,20.25,30.0,43.5,48.0,72.43561035194514,24.25,35.0,49.75,59.08139534883721,84.60304752072943
Wednesday,13,2.0,4.0,8.25,9.261904761904763,14.512245803316612,5.0,10.0,19.0,17.333333333333332,21.53972700285288,9.75,18.5,33.25,27.5,29.026161859418416,13.0,26.0,43.5,36.464285714285715,35.176130470893696,16.5,29.0,49.5,41.57142857142857,39.16363130777973,18.5,31.5,55.0,44.57142857142857,41.28924878711739
Thursday,12,2.0,3.0,10.0,6.63768115942029,7.974169723500912,4.0,6.0,16.0,11.91304347826087,12.79675870086178,8.0,14.0,26.0,19.44927536231884,19.419165966130453,11.0,21.0,40.0,28.434782608695652,26.57037174620365,15.0,29.0,46.0,36.05797101449275,32.164962695990205,18.0,33.0,52.0,40.72463768115942,35.316586695527036
Friday,2,2.0,3.0,9.0,11.45945945945946,41.440893438955705,4.0,7.5,19.0,21.89189189189189,55.537120146618456,8.0,15.0,30.5,35.472972972972975,70.168724831402,11.25,21.0,40.75,48.36486486486486,84.86372223365736,15.5,28.0,54.25,60.729729729729726,96.03385494614055,21.0,32.0,63.25,72.04054054054055,106.29107608119477
Wednesday,3,2.0,3.0,6.75,6.444444444444445,8.208754339042077,3.0,6.5,15.0,12.87037037037037,17.408571187884256,4.0,10.0,25.75,20.314814814814813,27.888473357132238,8.25,14.5,38.75,29.574074074074073,39.00246816178933,13.25,21.0,47.75,40.7962962962963,50.266226941450654,19.0,28.0,61.25,53.05555555555556,65.49417853048962
Tuesday,15,1.75,4.0,13.25,9.5625,14.237447280439394,4.0,9.0,18.5,16.05,22.952289535833,6.0,12.0,24.25,19.9875,27.595859967425767,7.0,13.5,25.5,22.1125,29.472576289909863,8.0,14.5,26.5,23.4875,31.041007483160403,8.75,15.0,27.25,24.175,31.186565997784644
Wednesday,14,1.75,4.0,13.0,9.039473684210526,11.658977415964271,4.0,8.0,20.5,16.394736842105264,21.023846110147353,6.75,13.0,29.0,23.31578947368421,29.246634234302718,7.0,18.5,32.25,28.223684210526315,34.99965663991978,8.0,21.0,36.0,30.93421052631579,38.163275724642496,8.75,21.5,37.5,32.36842105263158,39.71728158044493
Tuesday,9,1.5,4.0,8.0,9.045977011494253,20.389183204996396,5.0,9.0,17.0,18.103448275862068,33.23385584035717,10.0,15.0,28.5,30.367816091954023,49.6183375101193,16.0,25.0,45.5,46.48275862068966,72.141473100698,22.0,34.0,62.5,64.86206896551724,106.3621689623114,26.5,39.0,76.5,85.47126436781609,154.99503661073854
Thursday,11,1.25,5.0,13.0,11.833333333333334,19.22676622123031,5.0,10.0,21.5,22.0,36.36518893519096,8.25,17.5,36.0,34.166666666666664,56.62417993056491,15.0,24.5,48.0,47.22222222222222,78.14014747037298,21.25,35.5,62.0,60.766666666666666,103.54416633505953,25.25,41.0,73.75,70.93333333333334,122.9773707145553
Wednesday,11,1.25,4.0,8.0,7.487179487179487,10.072134105932339,4.0,10.0,23.25,17.525641025641026,20.881063538977475,9.25,16.0,36.5,28.615384615384617,32.94238605809845,15.0,25.0,52.0,41.52564102564103,46.61188866767968,19.5,35.5,64.0,54.3974358974359,58.279073284931215,23.0,40.0,75.75,63.51282051282051,66.85606628970628
Wednesday,9,1.25,4.0,8.0,7.3,11.708491108804063,4.25,9.5,15.75,14.533333333333333,21.81134639266165,9.0,15.0,25.75,23.866666666666667,35.37986477448259,14.25,22.5,33.75,35.0,55.7165781312141,20.0,31.5,48.0,50.422222222222224,84.80194742540452,24.5,37.0,63.75,66.92222222222222,122.24705394099864
Friday,10,1.0,5.0,11.0,8.148936170212766,9.70528893257172,4.0,10.5,19.0,14.27659574468085,15.004948470721715,8.0,18.0,28.75,23.106382978723403,21.74558073264858,13.25,27.5,41.75,33.361702127659576,28.75960842295147,20.0,35.5,57.0,43.90425531914894,37.10869507965426,25.25,41.0,73.5,54.56382978723404,47.40254485039065
Friday,6,1.0,4.5,11.0,8.650943396226415,11.625949999343783,4.0,10.0,23.0,16.79245283018868,20.90509939208594,9.0,18.0,33.75,26.60377358490566,30.800952132866037,15.0,24.5,44.75,38.679245283018865,45.70288042809751,18.0,31.5,57.25,51.27358490566038,64.15509971473047,23.0,38.5,63.75,64.17924528301887,84.64129321743744
Friday,4,1.0,4.0,14.5,8.80722891566265,10.978313246562129,3.0,11.0,22.0,16.3855421686747,19.966332226233295,5.5,20.0,33.5,27.457831325301203,33.39610799757715,11.0,28.0,49.0,41.28915662650602,52.68950238401544,14.5,33.0,60.5,55.0722891566265,74.41541001119916,20.0,37.0,73.5,68.93975903614458,101.13084369411091
Thursday,10,1.0,4.0,13.25,9.708333333333334,14.524691620363809,4.0,11.0,21.0,18.052083333333332,22.308539687358657,8.0,19.0,37.0,29.78125,32.95968929497141,13.75,28.0,51.5,45.6875,54.47052558856704,18.75,33.0,65.75,63.84375,92.11872523799752,24.0,45.0,83.5,82.48958333333333,134.5058006803672
Tuesday,11,1.0,4.0,13.0,9.112359550561798,14.044117340340557,4.0,8.0,23.0,18.51685393258427,27.073180438963846,7.0,17.0,34.0,31.292134831460675,40.090863345652664,13.0,29.0,46.0,46.17977528089887,57.307496296445464,20.0,40.0,64.0,62.842696629213485,77.26634850196672,25.0,43.0,75.0,74.50561797752809,92.96494006729655
Tuesday,4,1.0,4.0,12.0,9.620253164556962,15.350857152605567,4.0,8.0,18.0,16.860759493670887,25.773040066852207,8.5,15.0,28.5,28.075949367088608,42.18967310510182,15.0,22.0,41.5,41.620253164556964,67.20201153076624,19.5,30.0,53.0,55.51898734177215,95.25295079344686,23.5,35.0,63.5,69.86075949367088,128.65604455063806
Wednesday,15,1.0,4.0,12.0,8.964285714285714,13.459843380255148,3.0,9.0,19.0,16.285714285714285,22.831795325749173,4.0,13.0,26.25,23.0,30.77003706079815,4.75,15.0,30.0,26.654761904761905,35.60272564617214,6.0,16.0,34.5,28.892857142857142,38.39710639736007,6.0,16.5,36.25,29.773809523809526,39.479856443897454
Wednesday,7,1.0,4.0,11.25,9.8875,15.388631139722282,3.0,8.5,17.25,18.325,29.650186243998498,5.0,13.5,29.75,27.7875,42.487434851414186,8.0,19.0,39.0,38.475,57.10948290761075,14.0,26.0,45.0,49.8375,73.78388622923441,18.0,34.5,49.5,60.75,90.10198160200248
Friday,14,1.0,4.0,11.0,9.202247191011235,15.551366335237162,3.0,9.0,19.0,19.337078651685392,35.15224802724207,5.0,14.0,26.0,29.797752808988765,55.061160163304876,6.0,19.0,34.0,37.97752808988764,71.05407312361896,9.0,20.0,37.0,42.7752808988764,80.58757980226302,9.0,22.0,39.0,44.8876404494382,84.28030048624099
Friday,9,1.0,4.0,10.5,11.333333333333334,21.737154274858344,3.0,10.0,18.5,21.402298850574713,38.89086093700264,8.0,18.0,33.0,34.666666666666664,55.58414251587234,13.5,28.0,47.5,48.6551724137931,73.39013741264336,18.5,35.0,63.0,64.35632183908046,91.58945011495773,23.5,40.0,83.5,80.36781609195403,110.63286392414692
Wednesday,5,1.0,4.0,10.0,11.481012658227849,26.610129534317778,4.0,9.0,17.0,22.189873417721518,62.55522195287549,7.5,15.0,28.5,34.379746835443036,97.59719728498254,11.5,22.0,39.0,47.89873417721519,133.21494053968772,14.0,28.0,52.5,61.0253164556962,165.59929817480605,18.0,33.0,68.5,73.92405063291139,195.12236608724427
Saturday,10,1.0,4.0,10.0,8.87012987012987,12.439697332320987,4.0,8.0,17.0,18.285714285714285,27.532687340331513,8.0,15.0,30.0,32.05194805194805,50.386374542888205,14.0,21.0,55.0,51.45454545454545,78.04849124516075,18.0,29.0,91.0,72.3896103896104,108.70907043986182,23.0,38.0,115.0,96.18181818181819,147.93595051421897
Sunday,10,1.0,4.0,10.0,7.7594936708860756,10.565079379940626,5.0,9.0,18.5,16.620253164556964,19.27087865245511,9.5,15.0,30.0,26.68354430379747,29.13784406073359,15.0,24.0,42.0,37.59493670886076,37.704831693149934,23.0,31.0,58.0,47.87341772151899,45.2084536820634,27.5,38.0,71.5,58.063291139240505,54.478022332264075
Tuesday,12,1.0,4.0,9.5,7.609195402298851,10.218947656464438,4.0,9.0,19.0,16.24137931034483,19.308369987229707,7.5,17.0,31.0,27.022988505747126,29.43735050778978,11.0,26.0,45.5,40.41379310344828,44.7019982187306,15.0,32.0,57.0,50.758620689655174,58.05349688348638,17.0,35.0,66.0,57.0919540229885,67.53132471846246
Sunday,11,1.0,4.0,9.0,7.108910891089109,9.757972115249164,4.0,9.0,16.0,14.514851485148515,22.049768189886322,9.0,17.0,32.0,26.07920792079208,39.11308813385023,13.0,26.0,42.0,39.97029702970297,58.688577329075635,18.0,33.0,59.0,54.198019801980195,76.69524363374565,22.0,38.0,67.0,65.00990099009901,90.78815947572735
Friday,1,1.0,4.0,9.0,7.0,8.952653238007155,4.0,7.0,16.0,12.731707317073171,15.284018434698224,7.0,12.0,24.0,19.414634146341463,21.551073766469386,12.0,17.0,30.0,27.121951219512194,28.826372579593865,16.0,23.0,35.0,34.146341463414636,34.31075704178629,20.0,29.0,44.0,40.51219512195122,38.762818493512256
Saturday,13,1.0,4.0,9.0,6.838709677419355,9.189183531149244,4.0,9.0,16.0,13.311827956989248,13.90572176153435,10.0,18.0,30.0,23.344086021505376,20.81622205190603,16.0,24.0,40.0,32.89247311827957,29.066065065337302,19.0,28.0,48.0,40.03225806451613,36.54373544508696,21.0,32.0,53.0,44.483870967741936,41.444203691654444
Thursday,5,1.0,4.0,9.0,6.488372093023256,7.430848555845955,4.0,8.0,14.75,11.55813953488372,11.54694219891166,7.0,15.5,28.0,20.24418604651163,18.561779863004155,13.0,22.5,36.0,30.290697674418606,33.898417897862316,16.5,27.5,45.75,41.395348837209305,58.26153590789956,19.0,32.5,54.75,53.52325581395349,93.47459255222445
Tuesday,8,1.0,4.0,8.0,7.095890410958904,9.842036238561448,3.0,8.0,17.0,13.506849315068493,19.509344831865715,7.0,14.0,26.0,21.643835616438356,29.692109811930067,12.0,21.0,38.0,32.73972602739726,40.818714184815704,17.0,32.0,44.0,43.56164383561644,49.98777247747967,23.0,41.0,57.0,53.54794520547945,57.138487004015666
Sunday,6,1.0,4.0,7.0,4.4,3.904324525446111,4.0,8.0,15.0,10.23076923076923,7.487007977926727,9.0,17.0,23.0,19.584615384615386,16.91420659136528,13.0,23.0,38.0,33.53846153846154,43.97907063417954,18.0,31.0,48.0,50.46153846153846,81.75288162411252,23.0,35.0,64.0,69.1076923076923,127.06889409353434
Monday,11,1.0,4.0,6.0,6.178082191780822,9.748707130454422,5.0,9.0,13.0,12.684931506849315,14.901413721456809,9.0,15.0,26.0,22.643835616438356,22.829908418936924,14.0,22.0,40.0,35.45205479452055,37.17228698009162,18.0,27.0,54.0,49.794520547945204,57.690255027293425,23.0,31.0,62.0,59.657534246575345,70.30947841469688
Saturday,6,1.0,3.5,9.75,7.354838709677419,10.838753745723915,3.0,7.0,14.75,13.161290322580646,17.36417411137278,7.0,14.0,20.0,21.080645161290324,26.52700349325272,11.0,19.5,27.0,30.274193548387096,37.87908690489793,17.0,25.0,34.5,40.145161290322584,48.99041283734563,21.0,30.5,44.0,50.596774193548384,61.42233792343762
Monday,8,1.0,3.5,7.25,6.515625,9.370660371267908,2.75,7.0,14.75,13.71875,21.795928518877098,5.75,14.0,25.0,24.515625,44.90872301432961,10.0,21.0,40.0,37.203125,65.12653853710788,16.0,28.0,50.5,49.4375,83.22733735101515,21.75,37.5,57.75,59.6875,97.59145080303534
Monday,6,1.0,3.0,13.0,7.793103448275862,9.500474811922018,2.0,7.0,22.5,16.701149425287355,28.271571283703093,5.0,11.0,30.5,24.873563218390803,38.28072700996749,9.5,18.0,38.0,34.275862068965516,47.22279939476723,14.0,27.0,43.5,43.64367816091954,56.21594100896224,18.0,33.0,50.5,53.12643678160919,64.1293758827367
Sunday,4,1.0,3.0,12.5,8.982758620689655,16.79336897049875,2.0,7.0,19.75,16.982758620689655,27.785198242577113,3.25,11.5,34.0,27.379310344827587,40.69994076732054,8.25,19.0,48.5,40.775862068965516,54.661973408971406,15.0,26.0,56.75,54.224137931034484,67.63707150835447,19.25,34.0,62.75,66.46551724137932,80.3597646371291
Thursday,6,1.0,3.0,10.0,9.821782178217822,16.431917745414847,3.0,8.0,22.0,18.336633663366335,29.45853941651649,5.0,15.0,30.0,29.495049504950494,47.99242101881845,10.0,21.0,38.0,39.277227722772274,60.61915849166519,14.0,26.0,51.0,51.57425742574257,81.77106414064251,21.0,33.0,60.0,65.04950495049505,106.12156955469737
Monday,13,1.0,3.0,10.0,9.141414141414142,16.419258292558688,3.0,7.0,18.0,16.2020202020202,23.16576458782147,7.0,16.0,30.0,27.03030303030303,32.862252567113934,11.5,22.0,39.0,37.55555555555556,43.78966941405576,15.0,25.0,50.0,44.94949494949495,52.34235295635483,16.0,27.0,53.0,49.0,57.41542138001688
Monday,15,1.0,3.0,10.0,8.23157894736842,11.70420240184618,2.5,7.0,18.5,14.189473684210526,17.747217184819455,4.5,11.0,27.0,19.178947368421053,23.245214079538684,6.0,13.0,31.0,22.16842105263158,25.48117896650303,6.0,14.0,34.0,23.778947368421054,26.81265934233005,7.0,16.0,34.5,24.86315789473684,27.833704704569737
Saturday,7,1.0,3.0,10.0,6.904109589041096,9.965446390684223,3.0,7.0,15.0,14.547945205479452,23.571428736154765,6.0,15.0,22.0,22.684931506849313,36.95525699798216,9.0,21.0,34.0,32.45205479452055,49.756641403683325,14.0,28.0,48.0,42.57534246575342,60.564455520136015,22.0,33.0,62.0,52.54794520547945,71.52137231001699
Wednesday,4,1.0,3.0,10.0,6.63768115942029,9.500729096623791,3.0,7.0,16.0,12.46376811594203,15.713968785900732,6.0,13.0,24.0,19.869565217391305,21.745799488554553,9.0,21.0,33.0,29.202898550724637,31.359668604822065,15.0,26.0,45.0,39.43478260869565,42.43350447217719,18.0,30.0,55.0,49.53623188405797,53.083890242139915
Tuesday,7,1.0,3.0,9.75,9.241935483870968,13.696577870870469,2.0,7.5,18.75,15.483870967741936,21.919182358422184,6.0,13.5,23.0,25.35483870967742,32.3516015638183,11.25,20.0,29.5,37.0,48.067575383814486,17.0,27.0,63.25,52.12903225806452,69.12722503956797,23.25,33.0,76.0,66.5,88.08783805449394
Monday,4,1.0,3.0,9.5,7.731343283582089,14.188751508866835,2.5,6.0,16.0,15.671641791044776,30.914539121291515,5.5,11.0,24.5,25.686567164179106,47.36582611431614,9.0,17.0,31.0,37.17910447761194,64.69835026071851,13.0,24.0,38.5,49.492537313432834,85.95653819585809,18.0,28.0,49.0,62.223880597014926,107.12394702930358
Wednesday,8,1.0,3.0,9.0,10.166666666666666,22.21115705755776,3.0,8.0,17.25,17.08974358974359,31.41973318950423,7.0,15.0,28.75,26.897435897435898,41.12874614638476,12.0,23.0,37.0,38.67948717948718,53.51210412649916,17.25,28.0,52.0,50.705128205128204,66.93107696929032,22.5,35.0,58.0,63.30769230769231,85.39219035618055
Saturday,14,1.0,3.0,9.0,8.793814432989691,14.705397354039984,3.0,7.0,16.0,18.432989690721648,39.83112978994749,5.0,11.0,25.0,30.0,66.82190259687813,7.0,15.0,31.0,38.91752577319588,85.07296746801791,7.0,18.0,36.0,43.48453608247423,94.09393726064195,8.0,20.0,38.0,46.25773195876289,99.62840106600663
Thursday,9,1.0,3.0,9.0,7.698924731182796,11.111866890300265,4.0,8.0,18.0,15.311827956989248,24.676594479395128,8.0,15.0,30.0,25.27956989247312,40.58575611976444,14.0,24.0,38.0,37.526881720430104,60.533065236362944,20.0,34.0,47.0,51.18279569892473,85.43710453444422,25.0,40.0,58.0,64.97849462365592,116.14683159265928
Monday,5,1.0,3.0,9.0,7.523809523809524,11.855024038408086,3.0,7.0,14.25,13.166666666666666,18.159158022340165,6.0,13.0,27.5,22.202380952380953,26.808009845065463,13.0,19.5,41.0,33.55952380952381,37.318347562971645,18.0,28.5,56.0,47.92857142857143,53.7983261517473,22.75,35.0,75.25,62.82142857142857,82.28676871993657
Thursday,17,1.0,3.0,9.0,7.230769230769231,11.101476859478582,2.0,6.0,11.0,10.276923076923078,14.998445432264484,3.0,7.0,14.0,12.384615384615385,16.857576475145667,4.0,8.0,14.0,13.723076923076922,18.529122088879856,4.0,8.0,16.0,15.615384615384615,20.888612558410497,5.0,10.0,20.0,18.93846153846154,25.80205716306655
Sunday,8,1.0,3.0,9.0,7.0588235294117645,12.228510562952271,3.5,7.0,17.0,15.333333333333334,28.388495322342585,6.5,13.0,27.0,25.88235294117647,50.02265369163196,12.5,20.0,39.5,38.3921568627451,71.23568724491189,18.5,28.0,49.5,50.76470588235294,89.35067727449952,24.5,39.0,62.5,63.568627450980394,102.30430194316577
